epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9693,1.59713,2.03841,3.11921,1.00144,0.02224,0.34523,0.13924,0.08995,0.0268,0.40107,0.14979,0.10371,1.29653,1.50537,3.54943,0.88628,0.000365646,0.000365646,0.000365646
2,67.2702,1.35843,1.58249,1.75899,0.93655,0.75089,0.37628,0.42064,0.26538,0.74236,0.36506,0.40648,0.26206,1.26107,1.41273,1.62003,0.88702,0.000663117,0.000663117,0.000663117
3,85.9951,1.28011,1.49386,1.44236,0.90868,0.74487,0.46824,0.48347,0.30235,0.72096,0.43446,0.45099,0.27224,1.21264,1.47119,0.9701,0.89051,0.000887262,0.000887262,0.000887262
4,104.968,1.2514,1.41906,1.26948,0.90311,0.78578,0.48842,0.52841,0.34293,0.76442,0.46851,0.50787,0.32304,1.12128,1.3071,0.8226,0.8808,0.000781033,0.000781033,0.000781033
5,124.388,1.16018,1.36277,1.13499,0.8849,0.79085,0.48968,0.54953,0.36342,0.79105,0.45091,0.52155,0.33357,1.10097,1.29916,0.77083,0.87004,0.000671044,0.000671044,0.000671044
6,143.514,1.14387,1.33539,1.04204,0.87755,0.85077,0.50158,0.58934,0.37517,0.83787,0.49325,0.58275,0.37839,1.11853,1.29949,0.74007,0.86988,0.000561055,0.000561055,0.000561055
7,162.461,1.13014,1.30393,0.98515,0.87248,0.87386,0.48706,0.59207,0.38426,0.8699,0.45016,0.55794,0.34658,1.05126,1.26285,0.69741,0.863,0.000451066,0.000451066,0.000451066
8,180.935,1.071,1.25418,0.91543,0.8629,0.73126,0.57163,0.62899,0.41327,0.68097,0.53728,0.59187,0.38396,1.01419,1.20475,0.67082,0.85181,0.000341077,0.000341077,0.000341077
9,198.54,1.04257,1.23921,0.87703,0.85808,0.66474,0.59714,0.63228,0.4198,0.62761,0.55702,0.5892,0.37318,1.00082,1.20925,0.65211,0.8546,0.000231088,0.000231088,0.000231088
10,216.959,1.03162,1.22529,0.84573,0.85765,0.70678,0.57339,0.63576,0.4266,0.68888,0.52514,0.5965,0.38644,0.9785,1.19199,0.62632,0.84752,0.000121099,0.000121099,0.000121099
